sim_id,alg,task_type,task_level,task_seed,col_chance,task_val
2025-09-08_03:30:27_R_ur5e_N4_AO_Tbin_s5_l2,"O(400, 1)",bin,2,5,0.0,6.0
2025-09-08_04:01:24_R_ur5e_N4_AO_Tbin_s3_l4,"O(400, 1)",bin,4,3,0.022,7.0
2025-09-08_03:27:28_R_ur5e_N4_AO_Tbin_s4_l2,"O(400, 1)",bin,2,4,0.0,6.0
2025-09-08_04:23:09_R_ur5e_N4_AO_Tbin_s4_l5,"O(400, 1)",bin,5,4,0.0,8.0
2025-09-08_04:04:41_R_ur5e_N4_AO_Tbin_s4_l4,"O(400, 1)",bin,4,4,0.0,6.0
2025-09-08_03:18:08_R_ur5e_N4_AO_Tbin_s1_l2,"O(400, 1)",bin,2,1,0.0,4.0
2025-09-08_04:07:49_R_ur5e_N4_AO_Tbin_s5_l4,"O(400, 1)",bin,4,5,0.018,6.0
2025-09-08_03:39:56_R_ur5e_N4_AO_Tbin_s2_l3,"O(400, 1)",bin,3,2,0.012,5.0
2025-09-08_03:15:05_R_ur5e_N4_AO_Tbin_s0_l2,"O(400, 1)",bin,2,0,0.044,6.0
2025-09-08_02:59:13_R_ur5e_N4_AO_Tbin_s1_l1,"O(400, 1)",bin,1,1,0.0,3.0
2025-09-08_03:55:18_R_ur5e_N4_AO_Tbin_s1_l4,"O(400, 1)",bin,4,1,0.0,6.0
2025-09-08_03:24:23_R_ur5e_N4_AO_Tbin_s3_l2,"O(400, 1)",bin,2,3,0.0,2.0
2025-09-08_03:02:21_R_ur5e_N4_AO_Tbin_s2_l1,"O(400, 1)",bin,1,2,0.0,3.0
2025-09-08_03:21:11_R_ur5e_N4_AO_Tbin_s2_l2,"O(400, 1)",bin,2,2,0.0,5.0
2025-09-08_02:56:16_R_ur5e_N4_AO_Tbin_s0_l1,"O(400, 1)",bin,1,0,0.0,6.0
2025-09-08_04:17:05_R_ur5e_N4_AO_Tbin_s2_l5,"O(400, 1)",bin,5,2,0.008,7.0
2025-09-08_04:13:53_R_ur5e_N4_AO_Tbin_s1_l5,"O(400, 1)",bin,5,1,0.004,7.0
2025-09-08_03:52:13_R_ur5e_N4_AO_Tbin_s0_l4,"O(400, 1)",bin,4,0,0.018,8.0
2025-09-08_04:20:10_R_ur5e_N4_AO_Tbin_s3_l5,"O(400, 1)",bin,5,3,0.018,9.0
2025-09-08_03:58:13_R_ur5e_N4_AO_Tbin_s2_l4,"O(400, 1)",bin,4,2,0.012,5.0
2025-09-08_03:36:36_R_ur5e_N4_AO_Tbin_s1_l3,"O(400, 1)",bin,3,1,0.0,7.0
2025-09-08_03:43:02_R_ur5e_N4_AO_Tbin_s3_l3,"O(400, 1)",bin,3,3,0.0,6.0
2025-09-08_03:33:38_R_ur5e_N4_AO_Tbin_s0_l3,"O(400, 1)",bin,3,0,0.0,7.0
2025-09-08_03:46:03_R_ur5e_N4_AO_Tbin_s4_l3,"O(400, 1)",bin,3,4,0.04,6.0
2025-09-08_04:26:21_R_ur5e_N4_AO_Tbin_s5_l5,"O(400, 1)",bin,5,5,0.012,8.0
2025-09-08_03:08:50_R_ur5e_N4_AO_Tbin_s4_l1,"O(400, 1)",bin,1,4,0.0,4.0
2025-09-08_04:10:39_R_ur5e_N4_AO_Tbin_s0_l5,"O(400, 1)",bin,5,0,0.0,5.0
2025-09-08_03:05:31_R_ur5e_N4_AO_Tbin_s3_l1,"O(400, 1)",bin,1,3,0.0,4.0
2025-09-08_03:49:06_R_ur5e_N4_AO_Tbin_s5_l3,"O(400, 1)",bin,3,5,0.022,9.0
2025-09-08_03:11:56_R_ur5e_N4_AO_Tbin_s5_l1,"O(400, 1)",bin,1,5,0.0,2.0
2025-09-06_21:01:58_R_ur5e_N4_AO_Tbin_s4_l2,"O(400, 5)",bin,2,4,0.0,8.0
2025-09-06_21:19:24_R_ur5e_N4_AO_Tbin_s3_l4,"O(400, 5)",bin,4,3,0.0,7.0
2025-09-06_21:33:29_R_ur5e_N4_AO_Tbin_s4_l5,"O(400, 5)",bin,5,4,0.0,9.0
2025-09-06_21:26:20_R_ur5e_N4_AO_Tbin_s5_l4,"O(400, 5)",bin,4,5,0.0,8.0
2025-09-06_20:58:29_R_ur5e_N4_AO_Tbin_s3_l2,"O(400, 5)",bin,2,3,0.0,5.0
2025-09-06_21:12:21_R_ur5e_N4_AO_Tbin_s4_l3,"O(400, 5)",bin,3,4,0.0,9.0
2025-09-06_20:48:06_R_ur5e_N4_AO_Tbin_s3_l1,"O(400, 5)",bin,1,3,0.0,1.0
2025-09-06_20:55:06_R_ur5e_N4_AO_Tbin_s5_l1,"O(400, 5)",bin,1,5,0.0,3.0
2025-09-06_21:29:49_R_ur5e_N4_AO_Tbin_s3_l5,"O(400, 5)",bin,5,3,0.054,5.0
2025-09-06_20:51:30_R_ur5e_N4_AO_Tbin_s4_l1,"O(400, 5)",bin,1,4,0.0,1.0
2025-09-06_21:15:47_R_ur5e_N4_AO_Tbin_s5_l3,"O(400, 5)",bin,3,5,0.0,9.0
2025-09-06_21:08:50_R_ur5e_N4_AO_Tbin_s3_l3,"O(400, 5)",bin,3,3,0.006,10.0
2025-09-06_21:36:55_R_ur5e_N4_AO_Tbin_s5_l5,"O(400, 5)",bin,5,5,0.0,10.0
2025-09-06_21:05:28_R_ur5e_N4_AO_Tbin_s5_l2,"O(400, 5)",bin,2,5,0.0,5.0
2025-09-06_21:22:54_R_ur5e_N4_AO_Tbin_s4_l4,"O(400, 5)",bin,4,4,0.0,7.0
2025-09-06_22:35:57_R_ur5e_N4_AO_Tbin_s2_l4,"O(400, 5)",bin,4,2,0.0,6.0
2025-09-06_21:55:18_R_ur5e_N4_AO_Tbin_s0_l2,"O(400, 5)",bin,2,0,0.0,10.0
2025-09-06_22:05:34_R_ur5e_N4_AO_Tbin_s2_l2,"O(400, 5)",bin,2,2,0.0,6.0
2025-09-06_21:45:11_R_ur5e_N4_AO_Tbin_s1_l1,"O(400, 5)",bin,1,1,0.0,2.0
2025-09-06_22:25:49_R_ur5e_N4_AO_Tbin_s0_l4,"O(400, 5)",bin,4,0,0.0,7.0
2025-09-06_22:20:38_R_ur5e_N4_AO_Tbin_s2_l3,"O(400, 5)",bin,3,2,0.0,9.0
2025-09-06_22:00:25_R_ur5e_N4_AO_Tbin_s1_l2,"O(400, 5)",bin,2,1,0.0,7.0
