task_type,task_level,alg,normalized_task_val_mean,normalized_task_val_std,normalized_col_chance_mean,normalized_col_chance_std,baseline_task_val_mean,baseline_task_val_std,baseline_col_chance_mean,baseline_col_chance_std,count
bin,1,CC(1000),-0.833,1.835,0.0,0.0,2.5,1.517,0.0,0.0,6
bin,1,CC(500),-1.0,2.098,0.0,0.0,2.5,1.517,0.0,0.0,6
bin,1,"O(400, 1)",1.167,1.602,0.0,0.0,2.5,1.517,0.0,0.0,6
bin,1,"O(400, 5)",0.0,0.0,0.0,0.0,2.5,1.517,0.0,0.0,6
bin,1,"O-(400, 5)",1.333,2.066,0.0,0.0,2.5,1.517,0.0,0.0,6
bin,1,"SC(1600, 5)",1.0,2.683,0.008,0.02,2.5,1.517,0.0,0.0,6
bin,1,"SC(400, 5)",-1.167,1.169,0.021,0.039,2.5,1.517,0.0,0.0,6
bin,1,"SD(400, 5)",1.167,2.317,0.0,0.0,2.5,1.517,0.0,0.0,6
bin,2,CC(1000),-6.5,1.517,0.0,0.0,6.833,1.941,0.0,0.0,6
bin,2,CC(500),-6.333,1.506,0.0,0.0,6.833,1.941,0.0,0.0,6
bin,2,"O(400, 1)",-2.0,1.789,0.007,0.018,6.833,1.941,0.0,0.0,6
bin,2,"O(400, 5)",0.0,0.0,0.0,0.0,6.833,1.941,0.0,0.0,6
bin,2,"O-(400, 5)",-3.333,2.066,0.024,0.052,6.833,1.941,0.0,0.0,6
bin,2,"SC(1600, 5)",-1.333,1.966,0.093,0.117,6.833,1.941,0.0,0.0,6
bin,2,"SC(400, 5)",-4.5,2.881,0.025,0.029,6.833,1.941,0.0,0.0,6
bin,2,"SD(400, 5)",0.5,2.95,0.218,0.234,6.833,1.941,0.0,0.0,6
bin,3,CC(1000),-9.0,0.632,-0.002,0.003,9.0,0.632,0.002,0.003,6
bin,3,CC(500),-9.0,0.632,-0.002,0.003,9.0,0.632,0.002,0.003,6
bin,3,"O(400, 1)",-2.333,1.633,0.01,0.018,9.0,0.632,0.002,0.003,6
bin,3,"O(400, 5)",0.0,0.0,0.0,0.0,9.0,0.632,0.002,0.003,6
bin,3,"O-(400, 5)",-8.0,0.894,0.056,0.032,9.0,0.632,0.002,0.003,6
bin,3,"SC(1600, 5)",-5.0,3.347,0.161,0.04,9.0,0.632,0.002,0.003,6
bin,3,"SC(400, 5)",-7.5,1.049,0.089,0.075,9.0,0.632,0.002,0.003,6
bin,3,"SD(400, 5)",0.667,2.805,0.253,0.266,9.0,0.632,0.002,0.003,6
bin,4,CC(1000),-6.333,1.366,0.067,0.163,6.667,1.033,0.0,0.0,6
bin,4,CC(500),-6.167,1.472,0.001,0.002,6.667,1.033,0.0,0.0,6
bin,4,"O(400, 1)",-0.333,1.211,0.012,0.01,6.667,1.033,0.0,0.0,6
bin,4,"O(400, 5)",0.0,0.0,0.0,0.0,6.667,1.033,0.0,0.0,6
bin,4,"O-(400, 5)",-2.833,0.983,0.036,0.041,6.667,1.033,0.0,0.0,6
bin,4,"SC(1600, 5)",-2.333,2.422,0.048,0.057,6.667,1.033,0.0,0.0,6
bin,4,"SC(400, 5)",-4.833,1.329,0.027,0.038,6.667,1.033,0.0,0.0,6
bin,4,"SD(400, 5)",-0.167,3.71,0.286,0.312,6.667,1.033,0.0,0.0,6
bin,5,CC(1000),-7.5,1.871,-0.017,0.021,7.5,1.871,0.017,0.021,6
bin,5,CC(500),-7.5,1.871,-0.017,0.021,7.5,1.871,0.017,0.021,6
bin,5,"O(400, 1)",-0.167,2.317,-0.01,0.018,7.5,1.871,0.017,0.021,6
bin,5,"O(400, 5)",0.0,0.0,0.0,0.0,7.5,1.871,0.017,0.021,6
