task_type,alg,normalized_task_val_mean,normalized_task_val_std,normalized_col_chance_mean,normalized_col_chance_std,baseline_task_val_mean,baseline_task_val_std,baseline_col_chance_mean,baseline_col_chance_std,count
bin,CC(1000),-6.033,3.146,0.01,0.075,6.5,2.596,0.004,0.011,30
bin,CC(500),-6.0,3.118,-0.004,0.011,6.5,2.596,0.004,0.011,30
bin,"O(400, 1)",-0.733,2.083,0.004,0.016,6.5,2.596,0.004,0.011,30
bin,"O(400, 5)",0.0,0.0,0.0,0.0,6.5,2.596,0.004,0.011,30
bin,"O-(400, 5)",-3.867,3.739,0.027,0.041,6.5,2.596,0.004,0.011,30
bin,"SC(1600, 5)",-2.167,3.119,0.08,0.08,6.5,2.596,0.004,0.011,30
bin,"SC(400, 5)",-4.733,2.638,0.045,0.055,6.5,2.596,0.004,0.011,30
bin,"SD(400, 5)",0.433,2.944,0.229,0.277,6.5,2.596,0.004,0.011,30
follow,CC(1000),0.201,0.025,0.119,0.15,0.104,0.02,0.006,0.02,30
follow,CC(500),0.197,0.026,0.12,0.15,0.104,0.02,0.006,0.02,30
follow,"O(400, 1)",0.007,0.022,0.019,0.062,0.104,0.02,0.006,0.02,30
follow,"O(400, 5)",0.0,0.0,0.0,0.0,0.104,0.02,0.006,0.02,30
follow,"O-(400, 5)",-0.001,0.012,-0.002,0.015,0.104,0.02,0.006,0.02,30
follow,"SC(1600, 5)",0.017,0.027,0.021,0.047,0.104,0.02,0.006,0.02,30
follow,"SC(400, 5)",0.056,0.061,0.038,0.082,0.104,0.02,0.006,0.02,30
follow,"SD(400, 5)",-0.004,0.019,0.035,0.091,0.104,0.02,0.006,0.02,30
reach_easy,CC(1000),-25.933,4.813,0.112,0.144,27.067,4.92,0.006,0.021,30
reach_easy,CC(500),-25.633,4.716,0.143,0.152,27.067,4.92,0.006,0.021,30
reach_easy,"O(400, 1)",-0.467,5.316,0.005,0.018,27.067,4.92,0.006,0.021,30
reach_easy,"O(400, 5)",0.0,0.0,0.0,0.0,27.067,4.92,0.006,0.021,30
reach_easy,"O-(400, 5)",-2.567,4.569,-0.005,0.019,27.067,4.92,0.006,0.021,30
reach_easy,"SC(1600, 5)",-6.567,5.655,0.032,0.078,27.067,4.92,0.006,0.021,30
reach_easy,"SC(400, 5)",-17.433,5.015,0.031,0.063,27.067,4.92,0.006,0.021,30
reach_easy,"SD(400, 5)",10.433,5.244,0.008,0.03,27.067,4.92,0.006,0.021,30
reach_hard,CC(1000),-8.033,3.09,0.1,0.163,8.033,3.09,0.026,0.068,30
reach_hard,CC(500),-8.033,3.09,0.1,0.163,8.033,3.09,0.026,0.068,30
reach_hard,"O(400, 1)",0.433,2.944,0.003,0.098,8.033,3.09,0.026,0.068,30
reach_hard,"O(400, 5)",0.0,0.0,0.0,0.0,8.033,3.09,0.026,0.068,30
reach_hard,"O-(400, 5)",-5.933,2.828,0.04,0.074,8.033,3.09,0.026,0.068,30
reach_hard,"SC(1600, 5)",-1.333,5.429,0.149,0.119,8.033,3.09,0.026,0.068,30
reach_hard,"SC(400, 5)",-5.0,2.691,0.149,0.103,8.033,3.09,0.026,0.068,30
reach_hard,"SD(400, 5)",6.0,3.343,0.519,0.23,8.033,3.09,0.026,0.068,30
