task_type,alg,normalized_task_val_mean,normalized_task_val_std,normalized_col_chance_mean,normalized_col_chance_std,count
bin,CC(1000),0.079,0.142,0.066,0.249,30
bin,CC(500),0.081,0.14,0.034,0.183,30
bin,"O(400, 1)",0.704,0.185,0.069,0.191,30
bin,"O(400, 5)",0.765,0.232,0.045,0.183,30
bin,"O-(400, 5)",0.372,0.276,0.198,0.338,30
bin,"SC(1600, 5)",0.552,0.296,0.443,0.406,30
bin,"SC(400, 5)",0.228,0.151,0.331,0.368,30
bin,"SD(400, 5)",0.819,0.265,0.645,0.436,30
follow,CC(1000),0.971,0.047,0.959,0.182,30
follow,CC(500),0.958,0.048,0.96,0.182,30
follow,"O(400, 1)",0.352,0.097,0.635,0.46,30
follow,"O(400, 5)",0.331,0.063,0.584,0.487,30
follow,"O-(400, 5)",0.329,0.047,0.579,0.491,30
follow,"SC(1600, 5)",0.386,0.098,0.641,0.439,30
follow,"SC(400, 5)",0.504,0.206,0.717,0.414,30
follow,"SD(400, 5)",0.318,0.086,0.677,0.444,30
reach_easy,CC(1000),0.031,0.022,0.839,0.338,30
reach_easy,CC(500),0.038,0.018,0.958,0.184,30
reach_easy,"O(400, 1)",0.713,0.124,0.47,0.482,30
reach_easy,"O(400, 5)",0.729,0.121,0.455,0.49,30
reach_easy,"O-(400, 5)",0.661,0.103,0.438,0.501,30
reach_easy,"SC(1600, 5)",0.539,0.175,0.545,0.469,30
reach_easy,"SC(400, 5)",0.261,0.101,0.575,0.467,30
reach_easy,"SD(400, 5)",1.0,0.0,0.479,0.484,30
reach_hard,CC(1000),0.0,0.0,0.287,0.383,30
reach_hard,CC(500),0.0,0.0,0.287,0.383,30
reach_hard,"O(400, 1)",0.612,0.196,0.058,0.108,30
reach_hard,"O(400, 5)",0.56,0.177,0.061,0.185,30
reach_hard,"O-(400, 5)",0.153,0.093,0.134,0.135,30
reach_hard,"SC(1600, 5)",0.475,0.295,0.337,0.197,30
reach_hard,"SC(400, 5)",0.206,0.159,0.359,0.255,30
reach_hard,"SD(400, 5)",0.963,0.104,0.957,0.125,30
