task_type,task_level,alg,normalized_task_val_mean,normalized_task_val_std,normalized_col_chance_mean,normalized_col_chance_std,count
bin,1,CC(1000),0.311,0.156,0.167,0.408,6
bin,1,CC(500),0.283,0.166,0.167,0.408,6
bin,1,"O(400, 1)",0.703,0.202,0.167,0.408,6
bin,1,"O(400, 5)",0.492,0.281,0.167,0.408,6
bin,1,"O-(400, 5)",0.753,0.165,0.167,0.408,6
bin,1,"SC(1600, 5)",0.711,0.347,0.333,0.516,6
bin,1,"SC(400, 5)",0.267,0.128,0.833,0.408,6
bin,1,"SD(400, 5)",0.717,0.223,0.167,0.408,6
bin,2,CC(1000),0.035,0.055,0.0,0.0,6
bin,2,CC(500),0.054,0.092,0.0,0.0,6
bin,2,"O(400, 1)",0.592,0.181,0.012,0.029,6
bin,2,"O(400, 5)",0.833,0.171,0.0,0.0,6
bin,2,"O-(400, 5)",0.434,0.134,0.181,0.403,6
bin,2,"SC(1600, 5)",0.661,0.139,0.4,0.397,6
bin,2,"SC(400, 5)",0.296,0.199,0.078,0.038,6
bin,2,"SD(400, 5)",0.917,0.204,0.73,0.418,6
bin,3,CC(1000),0.0,0.0,0.0,0.0,6
bin,3,CC(500),0.0,0.0,0.0,0.0,6
bin,3,"O(400, 1)",0.663,0.195,0.096,0.145,6
bin,3,"O(400, 5)",0.893,0.166,0.007,0.012,6
bin,3,"O-(400, 5)",0.099,0.072,0.325,0.358,6
bin,3,"SC(1600, 5)",0.41,0.349,0.738,0.316,6
bin,3,"SC(400, 5)",0.154,0.102,0.398,0.277,6
bin,3,"SD(400, 5)",0.926,0.135,0.696,0.354,6
bin,4,CC(1000),0.049,0.076,0.161,0.394,6
bin,4,CC(500),0.069,0.111,0.002,0.004,6
bin,4,"O(400, 1)",0.788,0.148,0.053,0.053,6
bin,4,"O(400, 5)",0.825,0.124,0.0,0.0,6
bin,4,"O-(400, 5)",0.472,0.104,0.116,0.137,6
bin,4,"SC(1600, 5)",0.541,0.286,0.365,0.492,6
bin,4,"SC(400, 5)",0.234,0.157,0.16,0.282,6
bin,4,"SD(400, 5)",0.785,0.391,0.768,0.408,6
bin,5,CC(1000),0.0,0.0,0.0,0.0,6
bin,5,CC(500),0.0,0.0,0.0,0.0,6
