sim_id,alg,task_type,task_level,task_seed,col_chance,task_val
2025-09-08_03:30:27,"O(400, 1)",bin,2,5,0.0,6.0
2025-09-08_04:01:24,"O(400, 1)",bin,4,3,0.022,7.0
2025-09-08_03:27:28,"O(400, 1)",bin,2,4,0.0,6.0
2025-09-08_04:23:09,"O(400, 1)",bin,5,4,0.0,8.0
2025-09-08_04:04:41,"O(400, 1)",bin,4,4,0.0,6.0
2025-09-08_03:18:08,"O(400, 1)",bin,2,1,0.0,4.0
2025-09-08_04:07:49,"O(400, 1)",bin,4,5,0.018,6.0
2025-09-08_03:39:56,"O(400, 1)",bin,3,2,0.012,5.0
2025-09-08_03:15:05,"O(400, 1)",bin,2,0,0.044,6.0
2025-09-08_02:59:13,"O(400, 1)",bin,1,1,0.0,3.0
2025-09-08_03:55:18,"O(400, 1)",bin,4,1,0.0,6.0
2025-09-08_03:24:23,"O(400, 1)",bin,2,3,0.0,2.0
2025-09-08_03:02:21,"O(400, 1)",bin,1,2,0.0,3.0
2025-09-08_03:21:11,"O(400, 1)",bin,2,2,0.0,5.0
2025-09-08_02:56:16,"O(400, 1)",bin,1,0,0.0,6.0
2025-09-08_04:17:05,"O(400, 1)",bin,5,2,0.008,7.0
2025-09-08_04:13:53,"O(400, 1)",bin,5,1,0.004,7.0
2025-09-08_03:52:13,"O(400, 1)",bin,4,0,0.018,8.0
2025-09-08_04:20:10,"O(400, 1)",bin,5,3,0.018,9.0
2025-09-08_03:58:13,"O(400, 1)",bin,4,2,0.012,5.0
2025-09-08_03:36:36,"O(400, 1)",bin,3,1,0.0,7.0
2025-09-08_03:43:02,"O(400, 1)",bin,3,3,0.0,6.0
2025-09-08_03:33:38,"O(400, 1)",bin,3,0,0.0,7.0
2025-09-08_03:46:03,"O(400, 1)",bin,3,4,0.04,6.0
2025-09-08_04:26:21,"O(400, 1)",bin,5,5,0.012,8.0
2025-09-08_03:08:50,"O(400, 1)",bin,1,4,0.0,4.0
2025-09-08_04:10:39,"O(400, 1)",bin,5,0,0.0,5.0
2025-09-08_03:05:31,"O(400, 1)",bin,1,3,0.0,4.0
2025-09-08_03:49:06,"O(400, 1)",bin,3,5,0.022,9.0
2025-09-08_03:11:56,"O(400, 1)",bin,1,5,0.0,2.0
2025-09-06_21:01:58,"O(400, 5)",bin,2,4,0.0,8.0
2025-09-06_21:19:24,"O(400, 5)",bin,4,3,0.0,7.0
2025-09-06_21:33:29,"O(400, 5)",bin,5,4,0.0,9.0
2025-09-06_21:26:20,"O(400, 5)",bin,4,5,0.0,8.0
2025-09-06_20:58:29,"O(400, 5)",bin,2,3,0.0,5.0
2025-09-06_21:12:21,"O(400, 5)",bin,3,4,0.0,9.0
2025-09-06_20:48:06,"O(400, 5)",bin,1,3,0.0,1.0
2025-09-06_20:55:06,"O(400, 5)",bin,1,5,0.0,3.0
2025-09-06_21:29:49,"O(400, 5)",bin,5,3,0.054,5.0
2025-09-06_20:51:30,"O(400, 5)",bin,1,4,0.0,1.0
2025-09-06_21:15:47,"O(400, 5)",bin,3,5,0.0,9.0
2025-09-06_21:08:50,"O(400, 5)",bin,3,3,0.006,10.0
2025-09-06_21:36:55,"O(400, 5)",bin,5,5,0.0,10.0
2025-09-06_21:05:28,"O(400, 5)",bin,2,5,0.0,5.0
2025-09-06_21:22:54,"O(400, 5)",bin,4,4,0.0,7.0
2025-09-06_22:35:57,"O(400, 5)",bin,4,2,0.0,6.0
2025-09-06_21:55:18,"O(400, 5)",bin,2,0,0.0,10.0
2025-09-06_22:05:34,"O(400, 5)",bin,2,2,0.0,6.0
2025-09-06_21:45:11,"O(400, 5)",bin,1,1,0.0,2.0
2025-09-06_22:25:49,"O(400, 5)",bin,4,0,0.0,7.0
2025-09-06_22:20:38,"O(400, 5)",bin,3,2,0.0,9.0
2025-09-06_22:00:25,"O(400, 5)",bin,2,1,0.0,7.0
2025-09-06_21:35:18,"O(400, 5)",bin,1,0,0.0,5.0
2025-09-06_22:41:03,"O(400, 5)",bin,5,0,0.024,7.0
2025-09-06_22:30:50,"O(400, 5)",bin,4,1,0.0,5.0
2025-09-06_21:50:10,"O(400, 5)",bin,1,2,0.0,3.0
2025-09-06_22:10:44,"O(400, 5)",bin,3,0,0.0,9.0
2025-09-06_22:45:55,"O(400, 5)",bin,5,1,0.0,8.0
2025-09-06_22:51:02,"O(400, 5)",bin,5,2,0.022,6.0
2025-09-06_22:15:45,"O(400, 5)",bin,3,1,0.006,8.0
2025-09-08_22:34:56,"O-(400, 5)",bin,2,0,0.0,3.0
2025-09-08_22:58:31,"O-(400, 5)",bin,4,0,0.05,5.0
2025-09-08_22:46:30,"O-(400, 5)",bin,3,0,0.062,0.0
2025-09-08_23:10:09,"O-(400, 5)",follow,4,3,0.026,0.10074838693942292
2025-09-08_22:22:35,"O-(400, 5)",bin,1,0,0.0,3.0
2025-09-09_00:56:52,"O-(400, 5)",bin,4,4,0.004,5.0
2025-09-09_01:00:48,"O-(400, 5)",bin,4,5,0.0,4.0
2025-09-09_01:10:02,"O-(400, 5)",bin,5,2,0.0,1.0
2025-09-09_00:40:56,"O-(400, 5)",bin,3,5,0.062,2.0
2025-09-09_00:44:52,"O-(400, 5)",bin,4,1,0.07,3.0
2025-09-09_00:20:06,"O-(400, 5)",bin,2,5,0.0,4.0
2025-09-09_00:27:54,"O-(400, 5)",bin,3,2,0.016,1.0
2025-09-09_00:00:04,"O-(400, 5)",bin,1,5,0.0,4.0
2025-09-08_23:43:52,"O-(400, 5)",bin,1,1,0.0,5.0
2025-09-08_23:56:12,"O-(400, 5)",bin,1,4,0.0,4.0
2025-09-09_00:52:57,"O-(400, 5)",bin,4,3,0.094,3.0
2025-09-09_01:17:54,"O-(400, 5)",bin,5,4,0.11,1.0
2025-09-09_00:16:13,"O-(400, 5)",bin,2,4,0.13,5.0
2025-09-09_00:49:01,"O-(400, 5)",bin,4,2,0.0,3.0
2025-09-08_23:48:02,"O-(400, 5)",bin,1,2,0.0,3.0
2025-09-08_23:52:05,"O-(400, 5)",bin,1,3,0.0,4.0
2025-09-09_00:24:01,"O-(400, 5)",bin,3,1,0.048,1.0
2025-09-09_01:21:35,"O-(400, 5)",bin,5,5,0.0,0.0
2025-09-09_01:13:57,"O-(400, 5)",bin,5,3,0.032,3.0
2025-09-09_00:36:07,"O-(400, 5)",bin,3,4,0.11,1.0
2025-09-09_00:04:26,"O-(400, 5)",bin,2,1,0.0,3.0
2025-09-09_00:08:20,"O-(400, 5)",bin,2,2,0.016,4.0
2025-09-09_01:05:36,"O-(400, 5)",bin,5,1,0.03,0.0
2025-09-09_00:12:15,"O-(400, 5)",bin,2,3,0.0,2.0
2025-09-09_00:31:47,"O-(400, 5)",bin,3,3,0.048,1.0
2025-09-08_23:41:17,"SC(1600, 5)",bin,2,1,0.316,3.0
2025-09-09_00:12:08,"SC(1600, 5)",bin,4,1,0.028,3.0
2025-09-08_23:53:51,"SC(1600, 5)",bin,3,0,0.152,4.0
2025-09-08_23:59:02,"SC(400, 5)",reach_easy,1,0,0.156,12.0
2025-09-09_00:28:16,"SC(1600, 5)",bin,5,1,0.176,2.0
2025-09-08_23:24:49,"SC(1600, 5)",bin,1,1,0.0,3.0
2025-09-08_23:22:28,"SC(1600, 5)",bin,1,0,0.048,1.0
2025-09-08_23:27:32,"SC(1600, 5)",bin,1,2,0.0,4.0
2025-09-08_23:43:41,"SC(1600, 5)",bin,2,2,0.112,4.0
2025-09-09_00:15:26,"SC(1600, 5)",bin,4,2,0.152,4.0
2025-09-09_00:22:58,"SC(1600, 5)",bin,4,5,0.004,2.0
2025-09-09_00:33:37,"SC(1600, 5)",bin,5,3,0.104,0.0
2025-09-09_00:08:54,"SC(1600, 5)",bin,4,0,0.012,3.0
2025-09-09_00:38:26,"SC(1600, 5)",bin,5,5,0.092,7.0
2025-09-08_23:30:22,"SC(1600, 5)",bin,1,3,0.0,5.0
2025-09-08_23:33:07,"SC(1600, 5)",bin,1,4,0.0,3.0
2025-09-09_00:20:31,"SC(1600, 5)",bin,4,4,0.076,6.0
2025-09-08_23:37:57,"SC(1600, 5)",bin,2,0,0.012,8.0
2025-09-09_00:01:18,"SC(1600, 5)",bin,3,3,0.212,0.0
2025-09-08_23:51:22,"SC(1600, 5)",bin,2,5,0.004,6.0
2025-09-09_00:35:59,"SC(1600, 5)",bin,5,4,0.052,7.0
2025-09-09_00:06:13,"SC(1600, 5)",bin,3,5,0.14,7.0
2025-09-09_00:25:18,"SC(1600, 5)",bin,5,0,0.08,4.0
2025-09-09_00:03:57,"SC(1600, 5)",bin,3,4,0.104,6.0
2025-09-08_23:35:46,"SC(1600, 5)",bin,1,5,0.0,5.0
2025-09-09_00:18:13,"SC(1600, 5)",bin,4,3,0.016,8.0
2025-09-08_23:46:10,"SC(1600, 5)",bin,2,3,0.032,6.0
2025-09-09_00:31:10,"SC(1600, 5)",bin,5,2,0.144,6.0
2025-09-08_23:48:29,"SC(1600, 5)",bin,2,4,0.08,6.0
2025-09-08_23:56:33,"SC(1600, 5)",bin,3,1,0.212,0.0
2025-09-08_23:52:22,"SC(400, 5)",bin,5,3,0.204,1.0
2025-09-08_23:06:37,"SC(400, 5)",bin,2,2,0.008,3.0
2025-09-08_22:50:42,"SC(400, 5)",bin,1,1,0.008,1.0
2025-09-08_23:57:03,"SC(400, 5)",bin,5,5,0.072,5.0
2025-09-08_23:16:11,"SC(400, 5)",bin,3,0,0.0,3.0
2025-09-08_23:33:37,"SC(400, 5)",bin,4,1,0.008,2.0
2025-09-08_22:57:03,"SC(400, 5)",bin,1,4,0.008,1.0
2025-09-08_22:52:46,"SC(400, 5)",bin,1,2,0.0,2.0
2025-09-08_23:40:58,"SC(400, 5)",bin,4,4,0.012,1.0
2025-09-08_23:23:53,"SC(400, 5)",bin,3,3,0.204,1.0
2025-09-08_22:48:40,"SC(400, 5)",bin,1,0,0.0,2.0
2025-09-08_23:26:24,"SC(400, 5)",bin,3,4,0.012,1.0
2025-09-08_23:11:17,"SC(400, 5)",bin,2,4,0.012,1.0
2025-09-08_23:14:01,"SC(400, 5)",bin,2,5,0.004,5.0
2025-09-08_22:54:49,CC(500),follow,2,5,0.008,0.30455301777880234
2025-09-08_23:38:46,"SC(400, 5)",bin,4,3,0.036,1.0
2025-09-08_23:31:09,"SC(400, 5)",bin,4,0,0.1,1.0
2025-09-08_23:49:54,"SC(400, 5)",bin,5,2,0.004,1.0
2025-09-08_23:18:19,"SC(400, 5)",bin,3,1,0.1,1.0
2025-09-08_23:35:45,"SC(400, 5)",bin,4,2,0.0,2.0
2025-09-08_23:09:09,"SC(400, 5)",bin,2,3,0.036,1.0
2025-09-08_23:04:15,"SC(400, 5)",bin,2,1,0.008,2.0
2025-09-08_22:59:16,"SC(400, 5)",bin,1,5,0.1,1.0
2025-09-08_23:43:06,"SC(400, 5)",bin,4,5,0.004,4.0
2025-09-08_23:54:30,"SC(400, 5)",bin,5,4,0.012,1.0
2025-09-08_23:28:58,"SC(400, 5)",bin,3,5,0.088,2.0
2025-09-08_23:01:56,"SC(400, 5)",bin,2,0,0.08,2.0
2025-09-08_23:45:12,"SC(400, 5)",bin,5,0,0.076,2.0
2025-09-08_23:47:16,"SC(400, 5)",bin,5,1,0.116,1.0
2025-09-08_23:20:53,"SC(400, 5)",bin,3,2,0.14,1.0
2025-09-07_01:47:34,"SD(400, 5)",bin,2,2,0.188,7.0
2025-09-07_01:55:17,"SD(400, 5)",bin,3,1,0.122,12.0
2025-09-07_01:58:59,"SD(400, 5)",bin,3,2,0.212,9.0
2025-09-07_02:21:09,"SD(400, 5)",bin,5,2,0.182,10.0
2025-09-07_02:02:32,"SD(400, 5)",bin,4,0,0.138,10.0
2025-09-07_02:06:05,"SD(400, 5)",bin,4,1,0.414,5.0
2025-09-07_01:51:28,"SD(400, 5)",bin,3,0,0.726,6.0
2025-09-07_02:09:49,"SD(400, 5)",bin,4,2,0.092,9.0
2025-09-07_02:17:22,"SD(400, 5)",bin,5,1,0.854,3.0
2025-09-07_01:43:45,"SD(400, 5)",bin,2,1,0.072,7.0
2025-09-07_01:29:01,"SD(400, 5)",bin,1,0,0.0,3.0
2025-09-07_02:13:41,"SD(400, 5)",bin,5,0,0.202,11.0
2025-09-07_01:40:03,"SD(400, 5)",bin,2,0,0.626,5.0
2025-09-07_01:36:27,"SD(400, 5)",bin,1,2,0.0,4.0
2025-09-07_01:32:43,"SD(400, 5)",bin,1,1,0.0,3.0
2025-09-08_21:20:34,"SD(400, 5)",bin,5,5,0.318,8.0
2025-09-08_21:00:42,"SD(400, 5)",bin,4,3,0.856,0.0
2025-09-08_20:48:04,"SD(400, 5)",bin,3,3,0.394,10.0
2025-09-08_20:39:18,"SD(400, 5)",bin,2,4,0.02,9.0
2025-09-08_20:35:24,"SD(400, 5)",bin,2,3,0.354,8.0
2025-09-08_20:31:27,"SD(400, 5)",bin,1,5,0.0,3.0
2025-09-08_20:52:27,"SD(400, 5)",bin,3,4,0.022,13.0
2025-09-08_20:23:31,"SD(400, 5)",bin,1,3,0.0,3.0
2025-09-08_20:56:49,"SD(400, 5)",bin,3,5,0.056,8.0
2025-09-08_20:27:35,"SD(400, 5)",bin,1,4,0.0,6.0
2025-09-08_21:16:44,"SD(400, 5)",bin,5,4,0.022,10.0
2025-09-08_21:04:56,"SD(400, 5)",bin,4,4,0.0,8.0
2025-09-08_21:13:06,"SD(400, 5)",bin,5,3,0.856,3.0
2025-09-08_21:08:52,"SD(400, 5)",bin,4,5,0.214,7.0
2025-09-08_20:43:14,"SD(400, 5)",bin,2,5,0.05,8.0
2025-09-09_08:55:48,CC(1000),bin,3,5,0.0,0.0
2025-09-09_09:03:59,CC(1000),bin,4,3,0.0,0.0
2025-09-09_09:07:56,CC(1000),bin,4,5,0.0,0.0
2025-09-09_09:10:07,CC(1000),bin,5,0,0.0,0.0
2025-09-09_09:01:59,CC(1000),bin,4,2,0.0,0.0
2025-09-09_08:28:09,CC(1000),bin,1,3,0.0,2.0
2025-09-09_09:00:11,CC(1000),bin,4,1,0.4,1.0
2025-09-09_08:45:40,CC(1000),bin,3,0,0.0,0.0
2025-09-09_08:39:29,CC(1000),bin,2,3,0.0,0.0
2025-09-09_08:49:44,CC(1000),bin,3,2,0.0,0.0
2025-09-09_08:51:48,CC(1000),bin,3,3,0.0,0.0
2025-09-09_08:41:31,CC(1000),bin,2,4,0.0,1.0
2025-09-09_08:31:45,CC(1000),bin,1,5,0.0,2.0
2025-09-09_08:58:01,CC(1000),bin,4,0,0.0,0.0
2025-09-09_08:37:23,CC(1000),bin,2,2,0.0,0.0
2025-09-09_08:22:34,CC(1000),bin,1,0,0.0,2.0
2025-09-09_08:35:23,CC(1000),bin,2,1,0.0,0.0
2025-09-09_09:20:15,CC(1000),bin,5,5,0.0,0.0
2025-09-09_09:12:17,CC(1000),bin,5,1,0.0,0.0
2025-09-09_09:16:12,CC(1000),bin,5,3,0.0,0.0
2025-09-09_08:47:34,CC(1000),bin,3,1,0.0,0.0
2025-09-09_09:14:17,CC(1000),bin,5,2,0.0,0.0
2025-09-09_08:29:59,CC(1000),bin,1,4,0.0,2.0
2025-09-09_08:43:22,CC(1000),bin,2,5,0.0,0.0
2025-09-09_08:33:34,CC(1000),bin,2,0,0.0,1.0
2025-09-09_09:18:23,CC(1000),bin,5,4,0.0,0.0
2025-09-09_08:53:56,CC(1000),bin,3,4,0.0,0.0
2025-09-09_09:06:05,CC(1000),bin,4,4,0.0,1.0
2025-09-09_08:26:22,CC(1000),bin,1,2,0.0,0.0
2025-09-09_08:24:16,CC(1000),bin,1,1,0.0,2.0
2025-09-09_00:44:10,CC(500),bin,3,1,0.0,0.0
2025-09-09_01:20:24,CC(500),bin,5,3,0.0,0.0
2025-09-09_00:56:20,CC(500),bin,4,0,0.0,0.0
2025-09-09_00:17:53,CC(500),bin,1,2,0.0,0.0
2025-09-09_01:05:25,CC(500),bin,4,3,0.0,0.0
2025-09-09_00:13:00,CC(500),bin,1,0,0.0,1.0
2025-09-09_00:33:51,CC(500),bin,2,3,0.0,0.0
2025-09-09_00:31:35,CC(500),bin,2,2,0.0,0.0
2025-09-09_00:19:59,CC(500),bin,1,3,0.0,2.0
2025-09-09_00:22:25,CC(500),bin,1,4,0.0,2.0
2025-09-09_01:07:46,CC(500),bin,4,4,0.0,2.0
2025-09-09_00:15:39,CC(500),bin,1,1,0.0,2.0
2025-09-09_00:26:42,CC(500),bin,2,0,0.0,1.0
2025-09-09_00:36:28,CC(500),bin,2,4,0.0,2.0
2025-09-09_00:51:38,CC(500),bin,3,4,0.0,0.0
2025-09-09_01:10:25,CC(500),bin,4,5,0.0,0.0
2025-09-09_01:18:09,CC(500),bin,5,2,0.0,0.0
2025-09-09_01:25:47,CC(500),bin,5,5,0.0,0.0
2025-09-09_01:15:46,CC(500),bin,5,1,0.0,0.0
2025-09-09_00:38:51,CC(500),bin,2,5,0.0,0.0
2025-09-09_00:41:28,"O-(400, 5)",reach_hard,2,2,0.038,0.0
2025-09-09_01:13:10,CC(500),bin,5,0,0.0,0.0
2025-09-09_01:22:59,CC(500),bin,5,4,0.0,0.0
2025-09-09_00:46:57,CC(500),bin,3,2,0.0,0.0
2025-09-09_00:58:51,CC(500),bin,4,1,0.004,1.0
2025-09-09_00:53:48,CC(500),bin,3,5,0.0,0.0
2025-09-09_00:28:55,CC(500),bin,2,1,0.0,0.0
2025-09-09_00:24:34,CC(500),bin,1,5,0.0,2.0
2025-09-09_00:49:14,CC(500),bin,3,3,0.0,0.0
2025-09-09_01:02:40,CC(500),bin,4,2,0.0,0.0
2025-09-08_07:14:33,"O(400, 1)",reach_hard,5,0,0.044,8.0
2025-09-08_05:48:45,"O(400, 1)",reach_easy,5,2,0.024,27.0
2025-09-08_07:17:54,"O(400, 1)",reach_hard,5,1,0.232,7.0
2025-09-08_05:24:05,"O(400, 1)",reach_easy,4,0,0.0,27.0
2025-09-08_06:23:04,"O(400, 1)",reach_hard,2,1,0.004,8.0
2025-09-08_06:59:05,"O(400, 1)",reach_hard,4,1,0.0,5.0
2025-09-08_04:47:46,"O(400, 1)",reach_easy,2,0,0.0,27.0
2025-09-08_05:42:25,"O(400, 1)",reach_easy,5,0,0.014,26.0
2025-09-08_05:45:37,"O(400, 1)",reach_easy,5,1,0.064,19.0
2025-09-08_06:56:23,"O(400, 1)",reach_hard,4,0,0.006,9.0
2025-09-08_05:30:04,"O(400, 1)",reach_easy,4,2,0.0,33.0
2025-09-08_07:21:01,"O(400, 1)",reach_hard,5,2,0.0,8.0
2025-09-08_04:35:31,"O(400, 1)",reach_easy,1,2,0.0,36.0
2025-09-08_06:07:33,"O(400, 1)",reach_hard,1,2,0.0,12.0
2025-09-08_06:19:52,"O(400, 1)",reach_hard,2,0,0.0,8.0
2025-09-08_05:11:34,"O(400, 1)",reach_easy,3,2,0.0,32.0
2025-09-08_04:32:31,"O(400, 1)",reach_easy,1,1,0.0,28.0
2025-09-09_11:20:33,"O(400, 1)",reach_easy,3,4,0.0,29.0
2025-09-09_12:00:49,"O(400, 1)",reach_hard,2,5,0.076,7.0
2025-09-09_12:07:04,"O(400, 1)",reach_hard,3,4,0.0,8.0
2025-09-09_12:25:49,"O(400, 1)",reach_hard,5,4,0.224,9.0
2025-09-09_11:11:48,"O(400, 1)",reach_easy,2,4,0.0,25.0
2025-09-09_12:16:00,"O(400, 1)",reach_hard,4,4,0.0,10.0
2025-09-09_11:46:20,"O(400, 1)",reach_hard,1,3,0.0,10.0
2025-09-09_12:28:56,"O(400, 1)",reach_hard,5,5,0.0,4.0
2025-09-09_11:00:10,"O(400, 1)",reach_easy,1,3,0.0,29.0
2025-09-09_12:22:40,"O(400, 1)",reach_hard,5,3,0.066,7.0
2025-09-09_11:36:25,"O(400, 1)",reach_easy,5,3,0.044,21.0
2025-09-09_11:17:44,"O(400, 1)",reach_easy,3,3,0.0,30.0
2025-09-09_11:23:26,"O(400, 1)",reach_easy,3,5,0.0,20.0
