task_level,task_type,task_seed,sim_id,col_chance,task_val,alg,group_size
1,bin,0,"['2025-09-08_02:56:16', '2025-09-06_21:35:18', '2025-09-08_22:22:35', '2025-09-08_23:22:28', '2025-09-08_22:48:40', '2025-09-07_01:29:01', '2025-09-09_08:22:34', '2025-09-09_00:13:00']","[0.0, 0.0, 0.0, 0.048, 0.0, 0.0, 0.0, 0.0]","[6.0, 5.0, 3.0, 1.0, 2.0, 3.0, 2.0, 1.0]","['O(400, 1)', 'O(400, 5)', 'O-(400, 5)', 'SC(1600, 5)', 'SC(400, 5)', 'SD(400, 5)', 'CC(1000)', 'CC(500)']",8
1,bin,1,"['2025-09-08_02:59:13', '2025-09-06_21:45:11', '2025-09-08_23:43:52', '2025-09-08_23:24:49', '2025-09-08_22:50:42', '2025-09-07_01:32:43', '2025-09-09_08:24:16', '2025-09-09_00:15:39']","[0.0, 0.0, 0.0, 0.0, 0.008, 0.0, 0.0, 0.0]","[3.0, 2.0, 5.0, 3.0, 1.0, 3.0, 2.0, 2.0]","['O(400, 1)', 'O(400, 5)', 'O-(400, 5)', 'SC(1600, 5)', 'SC(400, 5)', 'SD(400, 5)', 'CC(1000)', 'CC(500)']",8
1,bin,2,"['2025-09-08_03:02:21', '2025-09-06_21:50:10', '2025-09-08_23:48:02', '2025-09-08_23:27:32', '2025-09-08_22:52:46', '2025-09-07_01:36:27', '2025-09-09_08:26:22', '2025-09-09_00:17:53']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[3.0, 3.0, 3.0, 4.0, 2.0, 4.0, 0.0, 0.0]","['O(400, 1)', 'O(400, 5)', 'O-(400, 5)', 'SC(1600, 5)', 'SC(400, 5)', 'SD(400, 5)', 'CC(1000)', 'CC(500)']",8
1,bin,3,"['2025-09-08_03:05:31', '2025-09-06_20:48:06', '2025-09-08_23:52:05', '2025-09-08_23:30:22', '2025-09-08_20:23:31', '2025-09-09_08:28:09', '2025-09-09_00:19:59']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[4.0, 1.0, 4.0, 5.0, 3.0, 2.0, 2.0]","['O(400, 1)', 'O(400, 5)', 'O-(400, 5)', 'SC(1600, 5)', 'SD(400, 5)', 'CC(1000)', 'CC(500)']",7
1,bin,4,"['2025-09-08_03:08:50', '2025-09-06_20:51:30', '2025-09-08_23:56:12', '2025-09-08_23:33:07', '2025-09-08_22:57:03', '2025-09-08_20:27:35', '2025-09-09_08:29:59', '2025-09-09_00:22:25']","[0.0, 0.0, 0.0, 0.0, 0.008, 0.0, 0.0, 0.0]","[4.0, 1.0, 4.0, 3.0, 1.0, 6.0, 2.0, 2.0]","['O(400, 1)', 'O(400, 5)', 'O-(400, 5)', 'SC(1600, 5)', 'SC(400, 5)', 'SD(400, 5)', 'CC(1000)', 'CC(500)']",8
1,bin,5,"['2025-09-08_03:11:56', '2025-09-06_20:55:06', '2025-09-09_00:00:04', '2025-09-08_23:35:46', '2025-09-08_22:59:16', '2025-09-08_20:31:27', '2025-09-09_08:31:45', '2025-09-09_00:24:34']","[0.0, 0.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.0]","[2.0, 3.0, 4.0, 5.0, 1.0, 3.0, 2.0, 2.0]","['O(400, 1)', 'O(400, 5)', 'O-(400, 5)', 'SC(1600, 5)', 'SC(400, 5)', 'SD(400, 5)', 'CC(1000)', 'CC(500)']",8
1,follow,0,"['2025-09-08_01:22:03', '2025-09-06_18:49:00', '2025-09-08_21:23:32', '2025-09-08_21:38:23', '2025-09-08_21:36:52', '2025-09-07_00:07:36', '2025-09-09_06:17:39', '2025-09-08_21:41:27']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0969236075080073, 0.0999681981980163, 0.0974493370931684, 0.1057132034139294, 0.1091469198269325, 0.0850239227683734, 0.2909716856992761, 0.265656306583561]","['O(400, 1)', 'O(400, 5)', 'O-(400, 5)', 'SC(1600, 5)', 'SC(400, 5)', 'SD(400, 5)', 'CC(1000)', 'CC(500)']",8
1,follow,1,"['2025-09-08_01:24:58', '2025-09-06_19:12:45', '2025-09-08_21:29:39', '2025-09-08_21:53:51', '2025-09-08_21:39:57', '2025-09-07_00:24:52', '2025-09-09_06:22:33', '2025-09-08_22:01:02']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.1048885682155141, 0.1015484651532699, 0.1104875498845627, 0.1182563184850961, 0.1222993059043207, 0.0867851928270905, 0.3148377638117944, 0.3066837397710127]","['O(400, 1)', 'O(400, 5)', 'O-(400, 5)', 'SC(1600, 5)', 'SC(400, 5)', 'SD(400, 5)', 'CC(1000)', 'CC(500)']",8
1,follow,2,"['2025-09-08_01:28:01', '2025-09-06_19:17:27', '2025-09-08_21:33:24', '2025-09-08_21:56:06', '2025-09-08_21:42:29', '2025-09-07_00:40:38', '2025-09-09_06:27:24', '2025-09-08_22:17:30']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.1030557463906931, 0.0939202939752466, 0.0986162278439843, 0.1046904349175093, 0.118495050065184, 0.0783623520417216, 0.3089385356816808, 0.2990758192954804]","['O(400, 1)', 'O(400, 5)', 'O-(400, 5)', 'SC(1600, 5)', 'SC(400, 5)', 'SD(400, 5)', 'CC(1000)', 'CC(500)']",8
1,follow,3,"['2025-09-08_01:31:20', '2025-09-06_19:26:05', '2025-09-08_21:37:19', '2025-09-08_21:58:22', '2025-09-08_21:44:51', '2025-09-08_18:54:52', '2025-09-09_06:32:00', '2025-09-08_22:22:11']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0934347854582319, 0.0933160455179813, 0.090499498751012, 0.1000174183273879, 0.1151057289437923, 0.0801452380335518, 0.3327394324844725, 0.3100301589168868]","['O(400, 1)', 'O(400, 5)', 'O-(400, 5)', 'SC(1600, 5)', 'SC(400, 5)', 'SD(400, 5)', 'CC(1000)', 'CC(500)']",8
1,follow,4,"['2025-09-08_01:34:30', '2025-09-06_19:44:39', '2025-09-08_21:40:57', '2025-09-08_22:00:34', '2025-09-08_21:46:57', '2025-09-08_19:13:37', '2025-09-09_06:36:27', '2025-09-08_22:25:20']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.1022688442733634, 0.0870398420180609, 0.0863631891431104, 0.1085659457511803, 0.1350894793648243, 0.0802351876199866, 0.3354787654032127, 0.2833949783866685]","['O(400, 1)', 'O(400, 5)', 'O-(400, 5)', 'SC(1600, 5)', 'SC(400, 5)', 'SD(400, 5)', 'CC(1000)', 'CC(500)']",8
